Name,Genus,Species,NeuronsInNervousSystem,NeuronsInBrain,SynapsesInBrain,NeuronsInCortex,NeuronsInForebrain,SnellsEQ,JerisonsEQ,BodyBrainRatio,BrainVolume,CranialVolume,BrainMass
Adult Box jellyfish,Tripedalia,cystophora,17100,13100,,,,,,,,,
Adult zebrafish,,,10000000,,,,,,,,,,
African elephant,Loxodonta,africana,257000000000,,,11000000000,5600000000,,1.3,,,,
Alexandrine parakeet,Psittacula,eupatria,1096000000,,,,575000000,,,,,,
Amphioxus,,,20000,,,,,,,,,,
Ansell's mole-rat,Fukomys,anselli,103000000,,,,10000000,,,,,,
Ant,,,250000,,,,,,,,,,
Azure-winged magpie,Cyanopica,cyanus,741000000,,,,400000000,,,,,,
Banded mongoose,Mungos,mungo,454000000,,,,116000000,,,,,,
Barn owl,Tyto,alba,690000000,,,,437000000,,,,,,
Black-rumped agouti,Dasyprocta,prymnolopha,857000000,,,,113000000,,,,,,
Blesbok,Damaliscus,pygargus phillipsi,3060000000,,,,570670000,,,,,,
Blue and yellow macaw,Ara,ararauna,3136000000,,,,1900000000,,,,,,
Bonnet macaque,Macaca,radiata,3780000000,,,,1660000000,,,,,,
Bottlenose dolphin,,,,,,,,4.14,5.3,50,,,1600
Box jellyfish,Tripedalia,cystophora,17100,13100,,,,,,,,,
Brown bear,Ursus,arctos,9586000000,,,,251000000,,,,,,
Brown Rat,Rattus,norvegicus,200000000,,448000000000,,31000000,,,,,,
Budgerigar,Melopsittacus,undulatus,322000000,,,,149000000,,,,,,
Cape dune mole-rat,Bathyergus,suillus,361000000,,,,43000000,,,,,,
Cape mole-rat,Georychus,capensis,170000000,,,,26000000,,,,,,
Capybara,Hydrochoerus,hydrochaeris,1600000000,,,,306500000,,,,,,
Cat,Felis,catusor,760000000,,10000000000000,300000000,250000000,1,1,100,,,
Chimpanzee,Pan,troglodytes,28000000000,,,6200000000,7400000000,2.35,2.35,113,,390,
Chinchilla,,,,,,,,1.34,,,,,
Cockatiel,Nymphicus,hollandicus,453000000,,,,258000000,,,,,,
Cockroach,,,1000000,,,,,,,,,,
Common blackbird,Turdus,merula,379000000,,,,136000000,,,,,,
Common hill myna,Gracula,religiosa,906000000,,,,410000000,,,,,,
Common marmoset,Callithrix,jacchus,636000000,,,,245000000,,,,,,
Common minke whale,Balaenoptera,acutorostrata,,,,,12800000000,,,,,,
Common squirrel monkey,Saimiri,sciureus,3246000000,,,,1340000000,,,,,,
Common starling,Sturnus,vulgaris,483000000,,,,226000000,,,,,,
Common treeshrew,Tupaia,glis,261000000,,,,60000000,,,,,,
Crab-eating macaque,Macaca,fascicularis,3440000000,,,,800960000,,,,,,
Damaraland mole-rat,Fukomys,damarensis,178000000,,,,21000000,,,,,,
Dog,Canis,lupus familiaris,2253000000,,,160000000,530000000,1.2,1.2,125,,,
Domesticated pig,Sus,scrofa,2220000000,,,450000000,425000000,,,,,,
Eastern gray squirrel,S.,carolinensis,,,,,77330000,,,,,,
Eastern mole,Scalopus,aquaticus,204000000,,,,27000000,,,,,,
